id,item,vowel,language,f1_cent,f2_cent,tl,f1_20,f1_35,f1_50,f1_65,f1_80,f2_20,f2_35,f2_50,f2_65,f2_80
,meet,i,en,429.97,2846.18,1637.10,419.89,426.69,438.16,471.57,393.57,2887.63,3108.10,3185.15,3175.79,1874.21
,beat,i,en,371.46,2970.59,260.87,388.63,390.53,392.67,365.53,319.94,2838.04,2961.37,3024.25,3014.01,3015.31
,feet,i,en,416.61,2877.73,207.18,401.18,403.81,414.32,433.53,430.20,2758.78,2858.29,2897.37,2944.89,2929.33
,seat,i,en,423.46,2862.79,251.73,417.79,419.44,417.77,421.49,440.83,2719.87,2814.07,2937.64,2927.67,2914.68
,heat,i,en,419.27,2961.82,165.65,413.00,408.81,404.98,432.51,437.06,2998.78,2976.36,2981.56,2980.56,2871.82
,fleet,i,en,421.98,2837.46,317.40,413.15,416.84,422.01,418.49,439.42,2650.50,2760.04,2879.85,2937.96,2958.97
,moss,a,en,705.86,1119.56,485.99,762.89,854.80,666.91,592.84,651.87,1084.68,1099.15,1077.58,1187.89,1148.53
,bot,a,en,749.25,1197.82,199.15,684.78,691.46,776.12,807.22,786.68,1154.49,1139.02,1203.71,1248.54,1243.32
,fought,a,en,714.64,1073.29,315.50,695.73,758.66,712.17,722.45,684.19,1126.09,1083.83,998.68,1024.96,1132.86
,sought,a,en,710.84,1211.62,145.47,709.83,712.25,729.95,700.90,701.29,1289.24,1204.30,1182.66,1189.63,1192.27
,caught,a,en,769.59,1138.62,180.22,749.56,758.90,777.42,782.83,779.21,1107.02,1143.18,1137.54,1188.68,1116.70
,brought,a,en,668.80,1095.45,432.86,617.77,758.72,648.61,625.85,693.04,1089.34,1104.99,1033.05,1122.33,1127.56
,moot,u,en,373.14,1232.07,1985.86,329.58,434.16,447.81,304.48,349.68,1498.91,1720.29,1934.56,480.09,526.53
,boot,u,en,413.70,1034.70,201.34,408.96,411.32,418.03,430.47,399.72,1065.63,1059.14,1094.93,1009.00,944.81
,food,u,en,419.28,1049.04,122.62,410.16,411.18,415.18,424.21,435.66,1048.45,1050.39,1045.05,1086.08,1015.24
,soothe,u,en,424.72,1454.19,551.36,415.39,418.94,424.40,420.82,444.09,1771.25,1528.68,1404.31,1344.38,1222.34
,cooed,u,en,439.64,1455.35,190.88,440.55,437.90,438.80,438.15,442.78,1540.68,1513.74,1472.58,1399.58,1350.16
,dude,u,en,401.35,1944.02,719.94,382.35,384.97,403.33,413.70,422.42,2389.13,1972.70,1831.84,1837.84,1688.61
,mis,i,sp,424.76,2909.00,303.13,415.26,424.03,419.89,417.90,446.72,2852.56,2905.93,2832.03,2978.17,2976.27
,bis,i,sp,349.09,2823.41,276.60,384.42,375.94,358.67,336.65,289.79,2705.64,2860.87,2872.37,2870.44,2807.73
,pis,i,sp,396.97,2754.69,422.90,410.75,405.73,371.76,407.67,388.93,2651.58,2726.83,2883.98,2804.28,2706.77
,cito,i,sp,374.25,2658.19,293.14,387.19,383.94,378.62,345.97,375.54,2672.01,2602.32,2702.10,2700.15,2614.35
,fito,i,sp,404.00,2633.17,300.03,391.89,397.70,396.57,408.87,424.96,2540.52,2643.68,2709.17,2689.76,2582.73
,quito,i,sp,392.36,2591.97,530.95,493.13,297.82,364.11,390.90,415.84,2394.96,2485.09,2695.20,2719.31,2665.30
,mas,a,sp,589.31,1306.45,1693.99,950.19,284.98,469.59,580.93,660.83,1524.49,1111.25,1189.54,1079.48,1627.49
,vas,a,sp,825.89,1369.54,1074.74,931.05,932.33,910.19,763.25,592.61,1569.63,1524.45,1541.58,936.75,1275.28
,pasa,a,sp,811.52,1437.68,605.42,836.20,866.58,852.46,800.58,701.77,1526.01,1527.63,1547.63,1537.41,1049.69
,sala,a,sp,739.43,1101.78,1431.42,531.64,675.80,844.64,867.07,778.01,808.05,1339.74,1156.45,913.74,1290.94
,fama,a,sp,758.37,1266.82,1096.76,684.42,965.86,935.88,714.11,491.60,1286.91,1481.21,1377.82,1257.01,931.15
,cama,a,sp,790.24,1466.10,473.02,702.49,855.43,894.61,756.04,742.63,1533.69,1516.21,1472.87,1362.63,1445.13
,musa,u,sp,360.56,568.79,986.22,396.42,403.85,438.29,443.07,121.20,504.40,535.64,451.48,846.32,506.14
,bulto,u,sp,352.83,610.32,1129.87,367.57,323.53,306.55,428.35,338.16,743.83,528.46,467.38,866.07,445.89
,puso,u,sp,417.41,1006.10,438.51,404.83,409.79,417.04,422.80,432.60,829.02,849.49,995.14,1090.54,1266.31
,supo,u,sp,414.15,1241.25,233.47,424.69,422.26,414.80,402.34,406.67,1352.79,1330.04,1239.18,1163.23,1120.99
,fumo,u,sp,400.78,775.25,193.22,423.03,414.69,386.46,390.80,388.92,867.53,842.65,763.75,721.48,680.84
,cura,u,sp,410.45,932.97,516.94,397.52,392.23,414.05,422.46,426.01,687.70,723.17,963.83,1087.23,1202.92
